Frame,Time,HMD_PosX,HMD_PosY,HMD_PosZ,HMD_RotX,HMD_RotY,HMD_RotZ,L_ctrl_PosX,L_ctrl_PosY,L_ctrl_PosZ,L_ctrl_RotX,L_ctrl_RotY,L_ctrl_RotZ,R_ctrl_PosX,R_ctrl_PosY,R_ctrl_PosZ,R_ctrl_RotX,R_ctrl_RotY,R_ctrl_RotZ,Timestamp
51,10.56716,-0.0115,0.4113,-0.2530,352.765,6.773,359.158,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1603,0.3464,0.1009,331.757,18.405,344.809,01-08 17:52:30.552
52,10.61155,-0.0111,0.4112,-0.2534,352.802,6.983,359.154,-0.2655,0.0275,0.2762,4.203,19.298,306.780,0.1625,0.3512,0.0977,331.298,22.719,341.515,01-08 17:52:30.596
53,10.65031,-0.0106,0.4112,-0.2540,352.793,7.119,359.180,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1613,0.3515,0.0964,332.078,20.278,342.675,01-08 17:52:30.635
54,10.6918,-0.0103,0.4111,-0.2543,352.857,7.233,359.192,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1630,0.3529,0.0946,332.847,21.386,341.092,01-08 17:52:30.676
55,10.73421,-0.0101,0.4110,-0.2548,352.881,7.161,359.169,-0.2655,0.0275,0.2762,4.202,19.299,306.780,0.1629,0.3533,0.0941,333.306,20.972,340.678,01-08 17:52:30.718
56,10.77554,-0.0100,0.4114,-0.2550,352.781,7.137,359.104,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1625,0.3522,0.0943,333.964,21.287,341.158,01-08 17:52:30.760
57,10.81698,-0.0098,0.4116,-0.2552,352.724,7.123,359.079,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1620,0.3518,0.0944,333.879,21.290,340.960,01-08 17:52:30.801
58,10.85943,-0.0097,0.4118,-0.2553,352.612,7.065,359.036,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1614,0.3510,0.0947,334.200,21.493,340.604,01-08 17:52:30.843
59,10.90091,-0.0097,0.4123,-0.2552,352.508,7.067,359.039,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1607,0.3502,0.0944,333.267,24.375,340.228,01-08 17:52:30.884
60,10.9421,-0.0097,0.4128,-0.2551,352.296,7.111,358.988,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1590,0.3492,0.0945,333.861,24.692,342.102,01-08 17:52:30.926
61,10.98382,-0.0099,0.4138,-0.2546,351.857,7.102,358.976,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1602,0.3504,0.0948,336.016,22.565,340.003,01-08 17:52:30.968
62,11.02552,-0.0102,0.4146,-0.2545,351.520,7.042,359.001,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1590,0.3507,0.0948,336.921,22.187,339.645,01-08 17:52:31.009
63,11.06706,-0.0107,0.4149,-0.2543,351.266,6.799,359.085,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1554,0.3517,0.0934,335.839,19.005,342.574,01-08 17:52:31.051
64,11.10956,-0.0115,0.4149,-0.2543,351.328,6.823,359.088,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1530,0.3539,0.0900,332.734,19.356,342.740,01-08 17:52:31.093
65,11.15059,-0.0120,0.4145,-0.2549,351.566,6.619,359.139,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1532,0.3559,0.0892,332.904,22.362,341.573,01-08 17:52:31.134
66,11.1922,-0.0124,0.4145,-0.2549,351.506,6.704,359.191,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1530,0.3583,0.0876,331.684,24.098,339.038,01-08 17:52:31.175
67,11.23382,-0.0126,0.4144,-0.2554,351.580,6.755,359.225,-0.2655,0.0275,0.2762,4.203,19.298,306.780,0.1498,0.3597,0.0861,330.835,21.588,341.777,01-08 17:52:31.217
68,11.28358,-0.0129,0.4144,-0.2559,351.562,6.744,359.226,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1488,0.3609,0.0864,333.928,20.224,340.643,01-08 17:52:31.268
69,11.3175,-0.0134,0.4144,-0.2563,351.578,6.690,359.265,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1491,0.3624,0.0839,336.342,15.290,337.937,01-08 17:52:31.300
70,11.3606,-0.0139,0.4143,-0.2565,351.617,6.629,359.301,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1429,0.3622,0.0803,336.456,2.433,339.948,01-08 17:52:31.345
71,11.40075,-0.0146,0.4141,-0.2567,351.716,6.385,359.373,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1440,0.3634,0.0761,335.285,5.658,332.180,01-08 17:52:31.385
72,11.44201,-0.0161,0.4138,-0.2563,351.719,6.104,359.524,-0.2655,0.0275,0.2762,4.203,19.298,306.780,0.1437,0.3652,0.0753,337.434,2.145,323.728,01-08 17:52:31.425
73,11.484,-0.0177,0.4134,-0.2562,351.906,5.791,359.689,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1424,0.3651,0.0734,338.467,354.980,318.678,01-08 17:52:31.468
74,11.52587,-0.0204,0.4128,-0.2553,352.254,5.264,359.906,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1403,0.3635,0.0746,341.449,350.166,314.981,01-08 17:52:31.510
