Frame,Time,HMD_PosX,HMD_PosY,HMD_PosZ,HMD_RotX,HMD_RotY,HMD_RotZ,L_ctrl_PosX,L_ctrl_PosY,L_ctrl_PosZ,L_ctrl_RotX,L_ctrl_RotY,L_ctrl_RotZ,R_ctrl_PosX,R_ctrl_PosY,R_ctrl_PosZ,R_ctrl_RotX,R_ctrl_RotY,R_ctrl_RotZ,Timestamp
113,35.62654,0.2991,0.7770,-0.6179,354.101,350.993,358.733,-0.1427,0.5402,-0.4408,347.771,286.836,18.295,0.5889,0.5740,-0.3281,342.046,40.349,328.918,01-08 18:53:13.180
114,35.66805,0.2993,0.7771,-0.6170,354.026,350.877,358.505,-0.1668,0.5212,-0.4623,352.650,280.936,16.627,0.6129,0.5635,-0.3389,344.308,45.077,327.176,01-08 18:53:13.222
115,35.70913,0.2994,0.7774,-0.6158,353.748,350.721,358.355,-0.1852,0.5031,-0.4821,357.085,276.381,16.849,0.6324,0.5536,-0.3489,346.638,50.033,325.174,01-08 18:53:13.263
116,35.75108,0.2995,0.7771,-0.6146,353.742,350.510,358.116,-0.1967,0.4857,-0.4965,0.074,272.893,15.676,0.6461,0.5449,-0.3564,348.723,53.530,323.451,01-08 18:53:13.305
117,35.79306,0.2991,0.7769,-0.6135,353.646,350.342,357.946,-0.2067,0.4695,-0.5078,3.916,269.651,15.264,0.6559,0.5381,-0.3612,350.509,56.178,321.950,01-08 18:53:13.347
118,35.83477,0.2988,0.7761,-0.6122,354.044,350.156,357.788,-0.2042,0.4626,-0.5055,3.723,268.898,14.419,0.6490,0.5379,-0.3560,350.634,56.113,322.520,01-08 18:53:13.390
119,35.87582,0.2981,0.7757,-0.6109,354.360,350.031,357.600,-0.2006,0.4603,-0.4983,4.225,269.506,14.568,0.6393,0.5406,-0.3481,350.651,54.269,322.015,01-08 18:53:13.430
120,35.91769,0.2976,0.7751,-0.6098,354.731,349.943,357.539,-0.1912,0.4649,-0.4836,3.326,272.297,14.856,0.6227,0.5463,-0.3378,349.207,51.513,323.062,01-08 18:53:13.472
121,35.95964,0.2970,0.7739,-0.6092,355.214,349.905,357.448,-0.1748,0.4776,-0.4637,0.222,276.916,15.605,0.5984,0.5541,-0.3256,346.766,46.602,325.004,01-08 18:53:13.513
122,36.00121,0.2961,0.7732,-0.6090,355.738,349.855,357.566,-0.1480,0.4993,-0.4378,354.689,283.155,16.030,0.5648,0.5624,-0.3131,344.173,40.634,327.326,01-08 18:53:13.556
123,36.0428,0.2955,0.7722,-0.6092,356.268,349.619,357.632,-0.1184,0.5191,-0.4134,349.552,289.768,16.717,0.5310,0.5690,-0.3030,341.543,35.133,330.432,01-08 18:53:13.597
124,36.08423,0.2950,0.7712,-0.6097,356.723,349.279,357.786,-0.0854,0.5360,-0.3902,345.274,296.160,15.112,0.4952,0.5741,-0.2946,339.221,28.460,334.032,01-08 18:53:13.639
